Classifier,Calibration Method,Accuracy,F1_Score,AUC,Precision,Recall,logloss
KNN,Beta-ab,0.959 $\pm$ 0.018,0.958 $\pm$ 0.016,0.983 $\pm$ 0.012,0.942 $\pm$ 0.022,0.975 $\pm$ 0.026,0.34 $\pm$ 0.264
KNN,Beta-abm,0.957 $\pm$ 0.02,0.956 $\pm$ 0.018,0.983 $\pm$ 0.012,0.946 $\pm$ 0.024,0.967 $\pm$ 0.031,0.37 $\pm$ 0.294
KNN,Isotonic,0.957 $\pm$ 0.018,0.956 $\pm$ 0.016,0.983 $\pm$ 0.012,0.941 $\pm$ 0.024,0.971 $\pm$ 0.027,0.424 $\pm$ 0.336
KNN,Platt,0.958 $\pm$ 0.019,0.957 $\pm$ 0.018,0.983 $\pm$ 0.012,0.947 $\pm$ 0.023,0.968 $\pm$ 0.029,0.142 $\pm$ 0.066
KNN,Uncalibrated,0.959 $\pm$ 0.018,0.958 $\pm$ 0.016,0.983 $\pm$ 0.012,0.942 $\pm$ 0.022,0.975 $\pm$ 0.026,0.417 $\pm$ 0.335
LogisticRegression,Beta-ab,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.022,0.965 $\pm$ 0.03,0.117 $\pm$ 0.046
LogisticRegression,Beta-abm,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.021,0.965 $\pm$ 0.032,0.118 $\pm$ 0.047
LogisticRegression,Isotonic,0.961 $\pm$ 0.016,0.96 $\pm$ 0.014,0.99 $\pm$ 0.008,0.948 $\pm$ 0.024,0.974 $\pm$ 0.026,0.201 $\pm$ 0.151
LogisticRegression,Platt,0.959 $\pm$ 0.018,0.957 $\pm$ 0.017,0.992 $\pm$ 0.006,0.956 $\pm$ 0.021,0.959 $\pm$ 0.035,0.13 $\pm$ 0.056
LogisticRegression,Uncalibrated,0.961 $\pm$ 0.017,0.959 $\pm$ 0.016,0.992 $\pm$ 0.006,0.954 $\pm$ 0.022,0.965 $\pm$ 0.03,0.115 $\pm$ 0.041
RandomForest,Beta-ab,0.959 $\pm$ 0.018,0.957 $\pm$ 0.018,0.987 $\pm$ 0.011,0.958 $\pm$ 0.018,0.957 $\pm$ 0.037,0.554 $\pm$ 0.415
RandomForest,Beta-abm,0.959 $\pm$ 0.019,0.957 $\pm$ 0.019,0.987 $\pm$ 0.011,0.96 $\pm$ 0.018,0.955 $\pm$ 0.039,0.615 $\pm$ 0.439
RandomForest,Isotonic,0.959 $\pm$ 0.019,0.957 $\pm$ 0.019,0.964 $\pm$ 0.018,0.959 $\pm$ 0.018,0.955 $\pm$ 0.039,1.234 $\pm$ 0.626
RandomForest,Platt,0.959 $\pm$ 0.019,0.957 $\pm$ 0.019,0.987 $\pm$ 0.011,0.96 $\pm$ 0.018,0.955 $\pm$ 0.039,0.339 $\pm$ 0.199
RandomForest,Uncalibrated,0.959 $\pm$ 0.018,0.957 $\pm$ 0.018,0.987 $\pm$ 0.011,0.958 $\pm$ 0.018,0.957 $\pm$ 0.037,0.275 $\pm$ 0.227
SVC,Beta-ab,0.961 $\pm$ 0.014,0.959 $\pm$ 0.013,0.99 $\pm$ 0.006,0.948 $\pm$ 0.02,0.971 $\pm$ 0.024,0.14 $\pm$ 0.068
SVC,Beta-abm,0.96 $\pm$ 0.014,0.958 $\pm$ 0.013,0.99 $\pm$ 0.006,0.952 $\pm$ 0.019,0.965 $\pm$ 0.027,0.144 $\pm$ 0.072
SVC,Isotonic,0.961 $\pm$ 0.013,0.959 $\pm$ 0.012,0.988 $\pm$ 0.008,0.945 $\pm$ 0.02,0.974 $\pm$ 0.023,0.224 $\pm$ 0.161
SVC,Platt,0.96 $\pm$ 0.014,0.959 $\pm$ 0.013,0.99 $\pm$ 0.006,0.953 $\pm$ 0.019,0.965 $\pm$ 0.027,0.124 $\pm$ 0.04
SVC,Uncalibrated,0.961 $\pm$ 0.014,0.959 $\pm$ 0.013,0.99 $\pm$ 0.006,0.948 $\pm$ 0.02,0.971 $\pm$ 0.024,0.14 $\pm$ 0.062
Stacking-LogReg-NPT,Beta-ab,0.957 $\pm$ 0.02,0.954 $\pm$ 0.019,0.984 $\pm$ 0.015,0.951 $\pm$ 0.02,0.959 $\pm$ 0.037,0.165 $\pm$ 0.082
Stacking-LogReg-NPT,Beta-abm,0.957 $\pm$ 0.02,0.955 $\pm$ 0.02,0.984 $\pm$ 0.015,0.951 $\pm$ 0.022,0.96 $\pm$ 0.038,0.16 $\pm$ 0.079
Stacking-LogReg-NPT,Isotonic,0.955 $\pm$ 0.021,0.953 $\pm$ 0.022,0.981 $\pm$ 0.014,0.947 $\pm$ 0.022,0.96 $\pm$ 0.044,0.379 $\pm$ 0.368
Stacking-LogReg-NPT,Platt,0.957 $\pm$ 0.02,0.954 $\pm$ 0.02,0.984 $\pm$ 0.015,0.953 $\pm$ 0.02,0.957 $\pm$ 0.038,0.157 $\pm$ 0.073
Stacking-LogReg-NPT,Uncalibrated,0.957 $\pm$ 0.02,0.954 $\pm$ 0.019,0.984 $\pm$ 0.015,0.951 $\pm$ 0.02,0.959 $\pm$ 0.037,0.163 $\pm$ 0.077
Stacking-LogReg-PT,Beta-ab,0.949 $\pm$ 0.016,0.947 $\pm$ 0.016,0.984 $\pm$ 0.008,0.928 $\pm$ 0.023,0.967 $\pm$ 0.033,0.174 $\pm$ 0.057
Stacking-LogReg-PT,Beta-abm,0.95 $\pm$ 0.016,0.949 $\pm$ 0.015,0.984 $\pm$ 0.008,0.924 $\pm$ 0.022,0.976 $\pm$ 0.028,0.175 $\pm$ 0.058
Stacking-LogReg-PT,Isotonic,0.949 $\pm$ 0.016,0.948 $\pm$ 0.015,0.983 $\pm$ 0.008,0.925 $\pm$ 0.024,0.973 $\pm$ 0.03,0.286 $\pm$ 0.182
Stacking-LogReg-PT,Platt,0.949 $\pm$ 0.017,0.947 $\pm$ 0.017,0.984 $\pm$ 0.008,0.935 $\pm$ 0.022,0.96 $\pm$ 0.036,0.16 $\pm$ 0.053
Stacking-LogReg-PT,Uncalibrated,0.949 $\pm$ 0.016,0.947 $\pm$ 0.016,0.985 $\pm$ 0.008,0.928 $\pm$ 0.023,0.967 $\pm$ 0.033,0.223 $\pm$ 0.105
Stacking-RF-NPT,Beta-ab,0.956 $\pm$ 0.016,0.954 $\pm$ 0.016,0.984 $\pm$ 0.01,0.946 $\pm$ 0.021,0.963 $\pm$ 0.032,0.285 $\pm$ 0.194
Stacking-RF-NPT,Beta-abm,0.952 $\pm$ 0.017,0.949 $\pm$ 0.019,0.984 $\pm$ 0.01,0.949 $\pm$ 0.022,0.951 $\pm$ 0.042,0.278 $\pm$ 0.184
Stacking-RF-NPT,Isotonic,0.951 $\pm$ 0.022,0.948 $\pm$ 0.023,0.979 $\pm$ 0.012,0.946 $\pm$ 0.024,0.952 $\pm$ 0.05,0.652 $\pm$ 0.408
Stacking-RF-NPT,Platt,0.954 $\pm$ 0.017,0.952 $\pm$ 0.018,0.984 $\pm$ 0.01,0.948 $\pm$ 0.021,0.957 $\pm$ 0.037,0.157 $\pm$ 0.07
Stacking-RF-NPT,Uncalibrated,0.956 $\pm$ 0.016,0.954 $\pm$ 0.016,0.984 $\pm$ 0.01,0.946 $\pm$ 0.021,0.963 $\pm$ 0.032,0.326 $\pm$ 0.248
Stacking-RF-PT,Beta-ab,0.958 $\pm$ 0.018,0.956 $\pm$ 0.017,0.988 $\pm$ 0.009,0.951 $\pm$ 0.022,0.963 $\pm$ 0.032,0.259 $\pm$ 0.199
Stacking-RF-PT,Beta-abm,0.957 $\pm$ 0.022,0.954 $\pm$ 0.022,0.988 $\pm$ 0.009,0.961 $\pm$ 0.019,0.948 $\pm$ 0.042,0.338 $\pm$ 0.268
Stacking-RF-PT-,Isotonic,0.956 $\pm$ 0.022,0.953 $\pm$ 0.023,0.967 $\pm$ 0.018,0.963 $\pm$ 0.02,0.944 $\pm$ 0.045,1.132 $\pm$ 0.661
Stacking-RF-PT,Platt,0.957 $\pm$ 0.021,0.954 $\pm$ 0.021,0.988 $\pm$ 0.009,0.96 $\pm$ 0.019,0.949 $\pm$ 0.041,0.24 $\pm$ 0.171
Stacking-RF-PT,Uncalibrated,0.958 $\pm$ 0.018,0.956 $\pm$ 0.017,0.988 $\pm$ 0.009,0.951 $\pm$ 0.022,0.963 $\pm$ 0.032,0.2 $\pm$ 0.134
